#Integrated pulse data for run 988.
#Total number of integrated events is 1000681.
#Row  Column  pmtIntValue  EvTotal
0  0  106.371  2643
0  1  873.261  21519
0  2  814.919  20967
0  3  1287.41  22288
0  4  787.897  4176
0  5  1017.38  12210
0  6  831.116  9550
0  7  1054.65  12431
0  8  2271.48  22346
0  9  1557.72  19904
0  10  1232.26  16741
0  11  1484.75  14361
1  0  1694.75  17223
1  1  2058.39  18037
1  2  1227  17704
1  3  1767.89  18532
1  4  1866.06  14824
1  5  792.548  6616
1  6  2152.7  14992
1  7  1168.43  11770
1  8  1718.6  16655
1  9  1526.5  14806
1  10  1271.14  12126
1  11  992.326  9720
2  0  785.124  12402
2  1  1730.81  14144
2  2  1813.7  14741
2  3  1074.21  14114
2  4  1120.43  9980
2  5  1860.86  12179
2  6  1098.62  10000
2  7  1072.96  8838
2  8  1547.69  12732
2  9  660.241  8901
2  10  2348.32  9664
2  11  2437.2  8532
3  0  1868.58  11157
3  1  1173  11070
3  2  2191.83  12302
3  3  1551.53  11697
3  4  1100.42  7301
3  5  1258.6  7873
3  6  1706.12  9234
3  7  1177.05  7093
3  8  877.633  9044
3  9  1026.15  8767
3  10  1197.96  7303
3  11  1906.3  6880
4  0  1124.77  8622
4  1  1979.25  9396
4  2  1194.27  9304
4  3  1382.67  9671
4  4  843.828  5216
4  5  1808.51  8090
4  6  1039.14  5289
4  7  952.788  4254
4  8  2743.98  8278
4  9  1097.97  6724
4  10  2051.49  6239
4  11  498.251  3835
5  0  1154.48  7579
5  1  636.174  6797
5  2  2410.48  8309
5  3  1076.67  7749
5  4  1227.41  5474
5  5  2197.74  6548
5  6  2081.61  6374
5  7  742.126  3881
5  8  2919.84  6746
5  9  1513.67  5846
5  10  2430.79  5257
5  11  843.006  4231
6  0  2001.29  6520
6  1  292.377  4175
6  2  2720.56  6977
6  3  1423.54  6599
6  4  2110.44  5653
6  5  1167.12  4561
6  6  1363.07  4027
6  7  1353.83  3229
6  8  4042.96  5226
6  9  1553.68  4795
6  10  2489.64  4316
6  11  1191.11  3832
7  0  1600.15  5336
7  1  3606.68  5455
7  2  1606.02  5415
7  3  1132.43  5362
7  4  947.216  3575
7  5  1476.79  4094
7  6  1335.7  3998
7  7  778.537  2113
7  8  1458.57  4216
7  9  2225.33  4136
7  10  1404.79  3506
7  11  1268.49  3264
8  0  609.506  3844
8  1  1561.43  4499
8  2  3747.63  4731
8  3  1207.29  4469
8  4  993.5  2967
8  5  2403.4  3607
8  6  898.145  2345
8  7  864.852  2421
8  8  2152.22  3681
8  9  1366.09  3212
8  10  1729.75  3106
8  11  1237.82  2819
9  0  780.458  3346
9  1  1954.85  3543
9  2  4036.82  4030
9  3  3788.05  3885
9  4  1539.96  2710
9  5  3572.7  3029
9  6  2532.19  2815
9  7  1124.66  1721
9  8  2085.95  3009
9  9  2737.96  2872
9  10  2542.52  2654
9  11  3898.87  2776
10  0  388.588  2412
10  1  2720.2  3266
10  2  3030.46  3338
10  3  2794.36  3296
10  4  1496.14  2310
10  5  3173.22  2106
10  6  1014.74  1511
10  7  844.806  1148
10  8  3419.22  2756
10  9  3122.69  2649
10  10  1882.99  2185
10  11  3043.51  2397
11  0  1462.54  2811
11  1  687.844  2375
11  2  1500.58  2567
11  3  1379.78  2581
11  4  1502  1724
11  5  2333.85  1954
11  6  1147.22  1632
11  7  1325.93  948
11  8  2431.38  2354
11  9  2502.21  2199
11  10  2249.45  1979
11  11  1119.84  1914
