#Averaged int pulse and pulse max data for run 1202.
#Total number of pulse events is 4191840.
#Row  Column  pmtIntValue  pmtMaxValue  EvTotal
0  0  2461.89  -1.31373e+06  29110
0  1  1624.96  -1.6392e+07  29110
0  2  1610.6  -5.27198e+06  29110
0  3  3521.4  -852013  29110
0  4  1495.95  -3.94306e+07  29110
0  5  3376.49  -5.19129e+07  29110
0  6  1597.27  -4.83459e+07  29110
0  7  955.038  -4.38168e+07  29110
0  8  2063.45  -2.34099e+07  29110
0  9  1526.97  -129216  29110
0  10  1344.62  -2.64492e+07  29110
0  11  1528.24  -3.66076e+07  29110
1  0  3399.02  -8.27672e+06  29110
1  1  2542.67  -6.1982e+06  29110
1  2  1937.14  -7.33703e+06  29110
1  3  2306.9  -2.76773e+06  29110
1  4  5442.53  -2.49585e+06  29110
1  5  1606.64  -1.12831e+06  29110
1  6  5211.71  -229017  29110
1  7  3006.94  -371897  29110
1  8  2638.91  -134056  29110
1  9  1407.7  -436457  29110
1  10  1589.4  -8.03043e+08  29110
1  11  1119.06  -1.56942e+08  29110
2  0  1701.02  -4819.97  29110
2  1  1758.68  -379507  29110
2  2  2534.7  -838154  29110
2  3  1513.21  -925652  29110
2  4  2995.48  -4.33522e+06  29110
2  5  4048.71  -4.34029e+06  29110
2  6  2630.66  -6.01567e+06  29110
2  7  2245.73  -161108  29110
2  8  2202.4  -181866  29110
2  9  876.765  -6.06094e+09  29110
2  10  2091.46  -5.12716e+09  29110
2  11  2462.74  -7.8074e+08  29110
3  0  3106.73  -423459  29110
3  1  1690.11  -22198.4  29110
3  2  2449.31  -37699.5  29110
3  3  2680.11  -902409  29110
3  4  3995.36  -1.16857e+07  29110
3  5  4005.61  -1.65778e+07  29110
3  6  4057.81  -8.97297e+07  29110
3  7  1987.24  -1.48137e+08  29110
3  8  1232.81  -4.42606e+07  29110
3  9  1118.03  -5.32588e+07  29110
3  10  790.805  -7.19043e+07  29110
3  11  1107.95  -2.09189e+06  29110
4  0  1758.2  -1.11485e+06  29110
4  1  2661.31  -3.36982e+06  29110
4  2  945.103  -5.53718e+06  29110
4  3  1750.74  -935877  29110
4  4  2591.55  -144692  29110
4  5  3549.34  -75287  29110
4  6  2282.98  -1.19727e+08  29110
4  7  2168.13  -6.88581e+09  29110
4  8  3244.56  -3.19116e+07  29110
4  9  1164.04  -3.74088e+07  29110
4  10  1976.73  -1.3633e+06  29110
4  11  461.442  -1.64947e+07  29110
5  0  1552.47  -1.68351e+06  29110
5  1  604.459  -3.29372e+06  29110
5  2  4026.89  -1.7574e+06  29110
5  3  2103.73  -735313  29110
5  4  3590.15  -3.29472e+06  29110
5  5  10601.9  -3.50455e+06  29110
5  6  2659.86  -1.19429e+07  29110
5  7  776.311  -2.67312e+07  29110
5  8  3612.11  -1.69364e+07  29110
5  9  1594.25  -5.8264e+06  29110
5  10  1703.56  -5.75246e+06  29110
5  11  603.576  -1.42838e+06  29110
6  0  1580.54  -263309  29110
6  1  15.4737  -662909  29110
6  2  2484  -2.15451e+06  29110
6  3  1462.1  -1.83255e+06  29110
6  4  2975.5  -91.5299  29110
6  5  2254.54  -68.0297  29110
6  6  805.6  -8.13484e+06  29110
6  7  964.276  -1.01614e+07  29110
6  8  4577.33  -1.88239e+06  29110
6  9  1525.23  -2.31624e+06  29110
6  10  1842.83  -2.33188e+06  29110
6  11  1160.63  -2.31326e+06  29110
7  0  1560.17  -306136  29110
7  1  4616.89  -143037  29110
7  2  1763.42  -75165.2  29110
7  3  1107.78  -1.78971e+08  29110
7  4  1917.12  -642182  29110
7  5  3163.9  -252206  29110
7  6  1269.79  -7.6318e+07  29110
7  7  495.612  -8.172e+07  29110
7  8  1494.87  -8.83912e+06  29110
7  9  2442.14  -9.28141e+06  29110
7  10  1435.1  -2.05269e+07  29110
7  11  1079.11  -1.16376e+06  29110
8  0  753.212  -929679  29110
8  1  1790.26  -217602  29110
8  2  2886.58  -1.15289e+07  29110
8  3  1370.67  -1.62125e+06  29110
8  4  1938.02  -35220.4  29110
8  5  5620.68  -4193.23  29110
8  6  642.139  -1.60086e+08  29110
8  7  795.775  -1.28278e+08  29110
8  8  1738.55  -1.47587e+07  29110
8  9  1168.33  -1.52865e+07  29110
8  10  952.637  -1.698e+07  29110
8  11  1225.38  -1.12016e+07  29110
9  0  842.555  -2.32558e+06  29110
9  1  2433.05  -1.0963e+06  29110
9  2  3588.87  -2.25979e+06  29110
9  3  2928.13  -369283  29110
9  4  3042.19  -348556  29110
9  5  3241.62  -171294  29110
9  6  2185.32  -2.65405e+07  29110
9  7  1705.69  -1.9435e+07  29110
9  8  991.972  -349241  29110
9  9  1692.44  -808652  29110
9  10  1252.34  -246744  29110
9  11  2324.6  -1.73062e+06  29110
10  0  322.143  -398831  29110
10  1  1221.66  -246563  29110
10  2  1957.28  -444832  29110
10  3  2852.84  -31299.1  29110
10  4  2681.19  3.19797  29110
10  5  4001.5  -281.754  29110
10  6  1565.36  -1.04948e+06  29110
10  7  1439.43  -3.58164e+06  29110
10  8  2143.01  -2.61116e+06  29110
10  9  1488.36  -1.90088e+06  29110
10  10  752.881  -84223.3  29110
10  11  1694.41  -106704  29110
11  0  1431.9  -6.62244e+06  29110
11  1  418.279  -114697  29110
11  2  1011.61  -128655  29110
11  3  857.079  -996865  29110
11  4  3599.3  -65.4879  29110
11  5  3854.76  -4538.61  29110
11  6  643.937  -3.66407e+06  29110
11  7  788.387  -4.38505e+06  29110
11  8  2192.42  -1.09976e+06  29110
11  9  1707.79  -4.4124e+06  29110
11  10  1566.97  -6.46017e+06  29110
11  11  1099.32  -984185  29110
