#Integrated pulse data for run 987.
#Total number of integrated events is 993668.
#Row  Column  pmtIntValue  EvTotal
0  0  75.7596  3747
0  1  2244.01  21599
0  2  2020.03  23182
0  3  2874.23  21550
0  4  785.499  6650
0  5  1115.07  13859
0  6  980.937  13163
0  7  1253.67  14807
0  8  5527.97  20408
0  9  4354.7  18829
0  10  3236.84  17436
0  11  4145.21  15193
1  0  4649.58  15445
1  1  5399.66  14701
1  2  3135.38  17833
1  3  4501.91  17465
1  4  2287.86  15054
1  5  893.389  9509
1  6  2747.19  15400
1  7  1421.3  12852
1  8  4489.49  14972
1  9  4010.62  14483
1  10  3473.91  12530
1  11  2613.57  10760
2  0  2170.39  13317
2  1  4501.75  12595
2  2  4654.63  13282
2  3  2922.66  15039
2  4  1351.42  10753
2  5  2232.88  11197
2  6  1300.24  10386
2  7  1192.29  7866
2  8  4276.87  13039
2  9  1581.16  10683
2  10  6053.79  7721
2  11  6098.64  6920
3  0  4674.9  9460
3  1  3141.25  11111
3  2  5746.11  11569
3  3  4184.98  12121
3  4  1214.82  6765
3  5  1436.27  8218
3  6  2087.9  8816
3  7  1336.26  6517
3  8  2441.67  10277
3  9  2902.87  9291
3  10  3408.78  7688
3  11  5299.76  6305
4  0  2919.43  9207
4  1  5027.96  8549
4  2  3239.14  9981
4  3  3733.86  9943
4  4  919.605  5613
4  5  2197.06  7850
4  6  1177.1  6089
4  7  1000.39  4859
4  8  7215.23  6526
4  9  2901.94  7124
4  10  5641.19  5961
4  11  1081.35  5036
5  0  3330.01  7695
5  1  1835.59  7750
5  2  6285.38  6957
5  3  2830.16  8168
5  4  1351.97  4546
5  5  2630.66  6168
5  6  2625.34  6047
5  7  835.24  3690
5  8  7488.8  5991
5  9  4564.52  5672
5  10  6461.44  5062
5  11  2314.5  4752
6  0  5483.16  5697
6  1  1133.49  6083
6  2  6888.73  5589
6  3  3970.25  6681
6  4  2670.03  5512
6  5  1339.12  4662
6  6  1453.83  3172
6  7  1441.95  2581
6  8  8497.47  3196
6  9  4159.39  4610
6  10  6081.38  3653
6  11  3148.72  3964
7  0  4517.52  5134
7  1  7820.16  3962
7  2  4170.71  5325
7  3  3138.6  5842
7  4  1092.54  3665
7  5  1768.59  3966
7  6  1619.07  3908
7  7  861.879  2419
7  8  3829.69  4394
7  9  6238.58  3821
7  10  3993.22  3677
7  11  3328.2  3509
8  0  1608.38  4562
8  1  3852.68  4280
8  2  7201.34  3503
8  3  3563.15  4665
8  4  1117.11  3057
8  5  2842.78  3307
8  6  1018.61  2188
8  7  1015.8  2674
8  8  5599  3740
8  9  3182.15  3405
8  10  5113.04  2863
8  11  3152.31  3109
9  0  2004.43  3968
9  1  4643.09  2561
9  2  8411.35  3012
9  3  8742.35  2935
9  4  1841.38  2626
9  5  4452.53  2645
9  6  3183.26  2843
9  7  1291.71  1380
9  8  5561.82  3118
9  9  7449.4  2480
9  10  6222.75  2566
9  11  7726.85  1998
10  0  1018.6  3076
10  1  6658.24  3104
10  2  7064.37  2922
10  3  7240.54  2740
10  4  1691.3  2142
10  5  3509.84  1846
10  6  1047.29  1383
10  7  861.045  1106
10  8  7533.81  2272
10  9  7453.04  2382
10  10  4675.35  2364
10  11  6884.04  2141
11  0  3555.35  3053
11  1  1810.99  2870
11  2  3928.28  2986
11  3  3868.22  2828
11  4  1711.67  1579
11  5  2862.38  1812
11  6  1316.52  1375
11  7  1519.23  1151
11  8  6179.21  2205
11  9  6217.01  2288
11  10  5853.7  1948
11  11  2891.71  1989
