#Integrated pulse data for run 978.
#Total number of integrated events is 1033897.
#Row  Column  pmtIntValue  EvTotal
0  0  1372.79  19709
0  1  1425.4  21792
0  2  1279.83  22367
0  3  2019.13  21819
0  4  782.094  5205
0  5  1060.18  12752
0  6  905.444  11084
0  7  1165.94  13360
0  8  3783.26  21978
0  9  2716.72  20677
0  10  2061.83  18414
0  11  2501.12  16230
1  0  2866.61  16725
1  1  3533.6  16756
1  2  2070.64  17627
1  3  2924.25  17891
1  4  2064.89  13942
1  5  837.041  7780
1  6  2439.99  14730
1  7  1307.89  12102
1  8  2889.07  16033
1  9  2659.2  15695
1  10  2150.49  13523
1  11  1599.52  11162
2  0  1350.53  13067
2  1  2936.07  13583
2  2  3046.91  14045
2  3  1823.41  14214
2  4  1247.78  9927
2  5  2063.69  11437
2  6  1215.3  10194
2  7  1144.7  8256
2  8  2623.16  13042
2  9  1094.19  10929
2  10  3923.84  9645
2  11  4094.84  8719
3  0  3075.1  10341
3  1  1998.07  11190
3  2  3770.95  11948
3  3  2610.57  11602
3  4  1178.12  7043
3  5  1372.6  7665
3  6  1885.1  8830
3  7  1264.52  6922
3  8  1509.52  9824
3  9  1756.25  9428
3  10  2097.29  8140
3  11  3299.71  7454
4  0  1822.57  8907
4  1  3396.37  9141
4  2  2018.88  9523
4  3  2371.55  9769
4  4  864.013  5222
4  5  1992.16  7807
4  6  1092.38  5669
4  7  975.666  4625
4  8  4581.54  7893
4  9  1842.03  7323
4  10  3449.97  6782
4  11  731.664  5004
5  0  2006.52  7583
5  1  1099.58  7106
5  2  4009.61  7666
5  3  1811.6  7830
5  4  1323.67  4974
5  5  2397.48  6349
5  6  2323.18  5991
5  7  788.81  3839
5  8  4869.48  6677
5  9  2748.39  6118
5  10  4277.92  5607
5  11  1434.85  5109
6  0  3464.43  6209
6  1  735.079  5444
6  2  4657.97  6320
6  3  2282.56  6642
6  4  2406.9  5534
6  5  1243.97  4522
6  6  1436.45  3635
6  7  1418.23  3064
6  8  6496.13  4629
6  9  2720.95  4919
6  10  4270.56  4277
6  11  1946.55  4292
7  0  2804.99  5251
7  1  5973.2  4756
7  2  2702.67  5529
7  3  1897.91  5504
7  4  1033.68  3595
7  5  1634.53  3994
7  6  1434.03  4007
7  7  826.941  2252
7  8  2449.45  4564
7  9  3991.34  4264
7  10  2488.69  3806
7  11  2060.91  3548
8  0  1061.35  4181
8  1  2521.53  4413
8  2  6213.33  4003
8  3  2227.88  4581
8  4  1054.55  2882
8  5  2616.14  3394
8  6  1004.41  2242
8  7  938.092  2561
8  8  3559.26  4019
8  9  3083.83  3645
8  10  3085.93  3308
8  11  1959.47  3166
9  0  1249.19  3490
9  1  3111.3  3091
9  2  6378.73  3728
9  3  6354.4  3531
9  4  1707.19  2664
9  5  3882.83  2888
9  6  2924.13  2763
9  7  1222.74  1543
9  8  3499.38  3341
9  9  4613.44  2993
9  10  4129.77  2871
9  11  5994.94  2677
10  0  648.987  2720
10  1  325293  3303
10  2  4966.76  3232
10  3  4636.93  3112
10  4  1655.1  2204
10  5  3548.12  1943
10  6  1065.06  1426
10  7  860.798  1098
10  8  5401.76  2699
10  9  5142.54  2688
10  10  2551.01  2893
10  11  4948.96  2428
11  0  2307.34  3136
11  1  1147.48  2613
11  2  2466.3  2854
11  3  2386.36  2734
11  4  1631.54  1666
11  5  2623.86  1910
11  6  1227.94  1493
11  7  1426.13  1095
11  8  4072.63  2308
11  9  4253.11  2319
11  10  3949.21  2115
11  11  1759.95  2064
