#Averaged int pulse and pulse max data for run 1205.
#Total number of pulse events is 4196304.
#Row  Column  pmtIntValue  pmtMaxValue  EvTotal
0  0  9506.3  -2.2088e+06  29141
0  1  6073.06  -1.43238e+06  29141
0  2  5878.74  -1.74748e+06  29141
0  3  18709.2  -808523  29141
0  4  2059.58  -6.75869e+06  29141
0  5  4633.93  -2.9167e+06  29141
0  6  2110.75  -7.46082e+06  29141
0  7  1250.49  -6.37566e+06  29141
0  8  7185.66  -1.81855e+06  29141
0  9  5608.09  -157156  29141
0  10  4549.46  -111079  29141
0  11  5653.63  -1.1587e+07  29141
1  0  16119  -2.8488e+06  29141
1  1  9660.69  -2.67022e+06  29141
1  2  6872.5  -2.56869e+06  29141
1  3  9101.78  -4.97082e+06  29141
1  4  9775.07  -4.81709e+06  29141
1  5  2208.51  -3.40013e+07  29141
1  6  7343.6  -1.23809e+07  29141
1  7  4076.92  -3.91417e+06  29141
1  8  11650.2  -8.23281e+07  29141
1  9  4905.5  -1.62833e+07  29141
1  10  5588.4  -1.52557e+07  29141
1  11  4165.07  -1.77477e+06  29141
2  0  6206.5  -158162  29141
2  1  6337.8  -537419  29141
2  2  8799.19  -306143  29141
2  3  5335.39  -290321  29141
2  4  4163.66  -1.6625e+06  29141
2  5  5594.87  -2.29351e+06  29141
2  6  3511.88  -3.0185e+06  29141
2  7  3037.18  -82733.8  29141
2  8  7480.41  -1.17424e+06  29141
2  9  3284.44  -7.33234e+06  29141
2  10  7622.75  -4.05537e+06  29141
2  11  9677.32  -3.41456e+06  29141
3  0  12296.5  -383850  29141
3  1  5990.81  -10929.5  29141
3  2  8921.42  -50246.3  29141
3  3  13222.3  -1.44152e+07  29141
3  4  5446.94  -3.83937e+06  29141
3  5  5455.94  -9.43749e+06  29141
3  6  5460.68  -1.4396e+07  29141
3  7  2766.02  -1.52273e+07  29141
3  8  4572.7  -1.36726e+06  29141
3  9  3835.01  -2.726e+06  29141
3  10  3096.85  -3.72772e+06  29141
3  11  4058.24  -187059  29141
4  0  5893.53  -5.0262e+06  29141
4  1  12140.9  -5.80207e+06  29141
4  2  3291.8  -2.05526e+06  29141
4  3  6182.76  -2.5646e+06  29141
4  4  3561.58  -771230  29141
4  5  4920.51  -1.24904e+06  29141
4  6  3151.91  -1.3648e+07  29141
4  7  2974.76  -1.32828e+07  29141
4  8  15141.7  -3.04754e+06  29141
4  9  3983.92  -2.22001e+08  29141
4  10  7013.64  -966576  29141
4  11  1623.61  -1.50743e+08  29141
