#Averaged int pulse and pulse max data for run 980.
#Total number of pulse events is 779260.
#Row  Column  pmtIntValue  pmtMaxValue  EvTotal
0  0  141601  1114.86  14659
0  1  3957.46  533.033  15964
0  2  3109.46  454.283  17831
0  3  9589.66  698.877  16640
0  4  13104.8  319.118  5706
0  5  -27908.6  200.381  9843
0  6  1276.56  156.261  8819
0  7  1687.63  212.761  9194
0  8  47448.4  1223.12  14770
0  9  22144.8  1179.27  13992
0  10  19623.1  749.62  10797
0  11  11896.1  859.438  9819
1  0  42828.9  1027.13  13400
1  1  6749  878.189  12807
1  2  69668.9  1052.28  14600
1  3  9344.5  905.193  14220
1  4  3319.39  444.855  9755
1  5  46609.9  844.503  6338
1  6  10754.8  1328.93  9512
1  7  2081.94  270.227  7822
1  8  36508  1229.92  11414
1  9  17259.2  1128.16  10137
1  10  35828.8  899.37  7942
1  11  4713.89  556.331  6295
2  0  19402.6  550.818  10577
2  1  7921.34  804.272  11690
2  2  19854.5  885.446  12334
2  3  9421.66  651.154  12277
2  4  1049.14  247.118  7369
2  5  4326.91  432.971  8325
2  6  7329.85  255.352  6871
2  7  1770.4  246.44  6435
2  8  12221.1  866.988  9264
2  9  4468.25  377.275  6560
2  10  7511.21  902.973  5732
2  11  7184.77  798.392  5419
3  0  25192  903.671  9184
3  1  7920.89  698.129  9217
3  2  6765.02  951.305  10183
3  3  11370.6  968.994  9200
3  4  -6781.37  309.453  6329
3  5  1581.62  260.424  5984
3  6  1859.82  428.492  6043
3  7  2224.62  288.397  5140
3  8  4689.93  531.443  6764
3  9  4107.96  681.667  5856
3  10  22285  711.678  5149
3  11  49816.7  1668.43  4777
4  0  9065.87  608.858  7500
4  1  -13165.5  839.567  7516
4  2  64275  1950.17  8666
4  3  21665.2  997.256  8464
4  4  -223055  43.2505  4347
4  5  208772  1486.66  5360
4  6  24737.4  695.093  3981
4  7  31671.7  375.303  3378
4  8  -2322.68  997.973  5936
4  9  4250.82  571.772  4801
4  10  6662.35  963.984  3981
4  11  1737.39  239.884  3306
5  0  68361  1509.65  6440
5  1  107050  1007.81  6219
5  2  17552.6  968.784  7325
5  3  2108.44  581.199  6615
5  4  7981.46  331.788  4120
5  5  3221.82  495.999  4967
5  6  3271.36  519.963  3943
5  7  -21167.5  219.248  3193
5  8  8654.21  976.091  4986
5  9  -694.657  779.004  4223
5  10  7309.02  971.768  3848
5  11  -17306.2  596.133  3379
6  0  7808.25  879.939  5521
6  1  -4.54053e+07  284.913  5115
6  2  1.84955e+07  107238  5855
6  3  19415  770.051  5942
6  4  1649.57  503.33  3657
6  5  259625  1688.56  3200
6  6  441.068  339.679  2982
6  7  -537177  598.411  2775
6  8  906.632  834.56  3382
6  9  13569.8  1087.36  3709
6  10  15410.9  1035.26  3023
6  11  58592.1  20073.7  2698
7  0  6142.19  895.104  4739
7  1  10030.5  881.375  4327
7  2  -394989  1033.26  4627
7  3  8256.61  605.824  4462
7  4  1047.48  211.878  2556
7  5  -12710.4  377.91  2785
7  6  1864.36  330.331  2369
7  7  -3201.07  161.811  1634
7  8  7601.48  701.962  3456
7  9  -15580.1  878.157  3158
7  10  202342  3825.05  2802
7  11  5906.38  647.203  2562
8  0  53637.2  16616.3  3685
8  1  5075.57  869.064  4166
8  2  133021  2255.65  3192
8  3  34423.5  1397.6  3770
8  4  -8647.92  1028.79  2177
8  5  -6272.26  1814.73  2789
8  6  1849.28  251.452  1876
8  7  -117564  166.926  1704
8  8  42453.7  2217.36  3226
8  9  11005.2  907.967  2730
8  10  17415.5  1062.8  2528
8  11  7064.38  589.244  2369
9  0  43489.2  1401.29  3187
9  1  12729.4  1262.28  2967
9  2  4.94764e+13  1.66079e+11  3154
9  3  31451.8  1101.52  2486
9  4  2739.48  347.914  1730
9  5  5829.15  774.315  1996
9  6  4466.33  604.43  1676
9  7  4023.98  315.608  1626
9  8  6296.9  2081.69  2804
9  9  8386.45  928.146  2227
9  10  491295  3421.93  2325
9  11  87067.5  1861.29  1924
10  0  1112.4  282.997  2170
10  1  9701.91  3371.86  2192
10  2  239434  2851.59  2662
10  3  44859.6  1336.2  2443
10  4  21279.3  442.395  1596
10  5  833027  7486.18  1966
10  6  -51413  275.397  1357
10  7  1.12329e+06  8967.02  1674
10  8  3139.49  2836.08  2136
10  9  139075  2947.14  2191
10  10  -3.31205e+07  1119.32  1467
10  11  356570  4500.74  1291
11  0  562678  5017.62  3491
11  1  12501.9  556.38  2312
11  2  5109.71  696.716  2607
11  3  -16430.2  901.282  1783
11  4  156340  1441.07  1654
11  5  12928.8  664.538  1298
11  6  1023.65  280.083  1096
11  7  1988.75  248.471  696
11  8  7761.3  949.59  1833
11  9  50820.3  2245.52  1713
11  10  8181.13  1394.9  1177
11  11  74744.8  1557.52  1356
