Run Number: 1683 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
   56     4568.67       81.56       58.04        0.80       22.14        0.62     6171.00   1486.5163        Good
   57     4139.35       67.90       70.44        0.85       28.94        0.68     7983.00   1498.5699        Good
   58     3548.24       65.13       66.76        0.83       26.42        0.67     6540.00   1483.2408        Good
   59     2620.03       52.10       62.40        1.30       33.99        1.24     5665.00   1577.4108        Good
   60     4934.63       66.80       63.71        0.69       26.12        0.39     9335.00   1505.1333        Good
   61     4576.28       71.71       65.86        0.75       27.53        0.61     8383.00   1475.9093        Good
   62     4283.09       69.07       71.08        0.86       29.14        0.69     8266.00   1521.2405        Good
   63     5241.73       78.62       65.82        0.78       26.54        0.61     8988.00   1490.9815        Good
   64     4900.87       67.59       66.28        0.78       25.42        0.43     8633.00   2173.1929        Good
   65     5166.99       78.04       67.23        0.84       27.45        0.67     8957.00   1826.8505        Good
   66     5299.75       79.69       67.13        0.81       27.18        0.65     8753.00   1787.7793        Good
   67     5648.87       83.26       58.67        0.75       27.20        0.68     9877.00   2139.7512        Good
   68        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000     No_Data
   69     2619.22       50.34       62.52        1.46       37.44        1.29     6432.00   1525.8227        Good
   70     2199.83       42.47       73.17        1.19       29.30        0.65     4819.00   1544.2572        Good
   71     2173.92       46.42       59.88        1.50       34.54        1.35     4730.00   1490.6938        Good
   72     1571.83       34.45       84.01        1.40       37.47        0.86     4944.00   1772.7193        Good
   73     1154.90       24.64      116.47        1.93       50.77        1.12     4869.00   1657.2441        Good
   74     1606.52       32.00       94.60        1.45       36.24        0.70     4930.00   1613.1937        Good
   75        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
   76     4454.08       84.31       42.98        0.59       17.84        0.37     6418.00   2464.5077        Good
   77     7149.45      149.54       25.35        0.38        9.99        0.23     6184.00   2750.3794        Good
   78     5183.59       86.90       63.32        0.71       22.06        0.59     7805.00   1922.8903        Good
   79     3909.35       59.28       67.00        0.79       25.39        0.43     6905.00   2242.2509        Good
   80     1891.01       50.82       67.84        0.94       22.62        0.74     3106.00   1446.2279        Good
   81     2784.61       56.27       66.79        1.08       29.50        0.94     5445.00   1471.9036        Good
   82     2604.12       50.34       62.87        1.04       24.82        0.60     4202.00   1475.9842        Good
   83     1727.87       41.09       60.30        1.23       29.75        0.87     3850.00   1485.9585        Good
   84     3543.98       57.76       62.56        0.94       25.90        0.53     6427.00   1465.9321        Good
   85     2880.80       49.65       70.60        0.99       29.18        0.60     5857.00   1478.4496        Good
   86     2597.23       46.91       72.04        1.08       30.79        0.68     5787.00   1505.8696        Good
   87     3149.49       52.23       69.66        0.96       27.18        0.54     5731.00   1454.5120        Good
   88     3560.00       56.06       67.92        0.85       26.61        0.48     6654.00   1855.9482        Good
   89     3211.23       51.90       71.04        0.88       27.86        0.49     6558.00   1772.4385        Good
   90     4521.62       82.89       61.07        0.67       20.50        0.55     6643.00   1761.7210        Good
   91     3713.50       68.63       62.71        0.83       24.69        0.67     6188.00   1928.0833        Good
   92     2091.42       41.29       78.65        1.16       27.85        0.64     3918.00   1456.7327        Good
   93     1858.47       37.85       74.82        1.23       30.93        0.71     4300.00   1489.3571        Good
   94     1744.48       37.38       73.25        1.24       28.76        0.68     3738.00   1503.8190        Good
   95     2221.20       51.75       50.29        1.05       20.35        0.58     3366.00   1528.2700        Good
   96     2705.58       48.15       66.84        1.04       28.08        0.60     5528.00   1526.8838        Good
   97     2982.78       52.07       65.65        0.93       25.32        0.52     5094.00   1457.3017        Good
   98     2236.81       43.26       73.67        1.15       29.54        0.63     5149.00   1542.3695        Good
   99     2673.55       46.46       72.36        1.05       27.45        0.55     5295.00   1463.1646        Good
  100     3373.49       64.56       64.30        0.98       26.89        0.81     5802.00   2110.1511        Good
  101     3293.86       55.39       64.64        0.85       24.68        0.48     5545.00   1916.4025        Good
  102     2155.15       50.70       60.31        1.15       30.75        1.06     4806.00   2303.6979        Good
  103     2528.23       46.67       68.74        1.00       26.24        0.54     4883.00   2163.1594        Good
  104     2874.46       60.49       62.58        1.06       25.66        0.88     4657.00   1448.1828        Good
  105     2303.81       53.64       64.28        1.15       26.60        0.97     3806.00   1452.8491        Good
  106     1865.06       48.50       63.62        1.03       25.03        0.84     3322.00   1491.8803        Good
  107     1193.21       34.72       67.59        1.71       33.88        1.33     2959.00   1497.5434        Good
  108        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  109     2058.83       41.95       70.23        1.15       27.90        0.63     4371.00   1524.2126        Good
  110     2278.33       47.39       76.33        1.11       31.16        0.89     4766.00   1471.7481        Good
  111     2438.35       50.04       72.18        1.01       29.71        0.82     5034.00   1463.7143        Good
  112     2907.12       52.92       64.15        0.86       24.66        0.51     4938.00   1717.3551        Good
  113     2959.80       53.18       62.93        1.05       24.90        0.59     4762.00   1753.3114        Good
  114     2869.00       59.62       60.87        0.94       25.09        0.77     4843.00   1901.3850        Good
  115     2567.09       57.21       61.95        1.05       26.01        0.91     4445.00   1955.9618        Good
  116     2278.61       53.38       62.83        0.92       24.59        0.75     3967.00   1418.3267        Good
  117     2089.32       45.30       60.23        1.08       22.87        0.57     3264.00   1499.0959        Good
  118     1595.63       38.73       63.38        1.21       25.12        0.71     2826.00   1467.8026        Good
  119     1533.01       40.93       47.79        1.91       28.33        1.34     2895.00   1512.2038        Good
  120     2445.10       52.71       52.22        0.98       22.36        0.61     3832.00   1476.9805        Good
  121     2185.74       46.00       59.87        0.93       21.69        0.47     3462.00   1499.6788        Good
  122     1329.53       32.45       78.72        1.60       34.10        1.00     3300.00   1512.6575        Good
  123     2305.50       48.71       61.49        1.11       23.40        0.64     3596.00   1501.7658        Good
  124     2344.79       48.32       62.08        1.16       24.88        0.69     3777.00   1617.0101        Good
  125     2261.38       54.16       60.13        1.06       24.67        0.88     3621.00   1818.1143        Good
  126     2201.83       47.00       61.49        1.10       23.41        0.62     3421.00   1835.5241        Good
  127     1906.98       50.94       62.90        1.19       24.99        0.99     3239.00   1772.9808        Good
  128     1735.53       41.46       61.08        1.23       24.77        0.74     2829.00   1439.9763        Good
  129     1612.98       39.95       61.28        1.31       23.02        0.71     2491.00   1410.3984        Good
  130      560.51       23.43       73.89        2.40       34.37        1.61     1668.00   1574.5217        Good
  131      670.55       25.38       63.99        1.84       29.40        1.15     1691.00   1572.9333        Good
  132     1126.51       30.92       67.88        1.66       28.78        0.94     2421.00   1539.3411        Good
  133     1168.65       32.90       64.18        1.37       24.96        0.76     2203.00   1450.7211        Good
  134     1161.91       36.96       60.40        1.46       26.78        1.23     2182.00   1500.3151        Good
  135     1225.54       33.36       67.30        1.56       26.77        0.90     2313.00   1464.2147        Good
  136     1019.35       31.81       73.40        2.05       36.16        1.89     2342.00   1987.2237        Good
  137     1235.39       38.32       64.97        1.51       27.49        1.26     2250.00   2021.1422        Good
  138     1168.99       33.46       62.18        1.38       23.35        0.70     2077.00   2035.0351        Good
  139     1017.74       29.15       71.46        1.62       27.50        0.90     1951.00   2106.4198        Good
  140      870.41       27.79       67.50        1.81       26.38        0.97     1641.00   1483.5185        Good
  141      906.83       29.00       62.14        1.63       23.55        0.81     1641.00   1487.4119        Good
  142      662.33       23.78       69.65        1.79       26.78        1.02     1307.00   1487.1376        Good
  143      640.97       24.70       58.15        1.82       25.47        1.03     1320.00   1493.9944        Good
  144     2340.73       42.65       79.40        1.23       31.03        0.61     5695.00   1613.0678        Good
  145     2745.81       46.92       75.88        1.02       29.71        0.54     6355.00   1583.4217        Good
  146     4268.88       64.46       66.15        0.78       24.62        0.45     7269.00   1556.9962        Good
  147     2805.34       48.76       73.87        0.97       28.81        0.51     6494.00   1576.2445        Good
  148     9204.66      166.17       32.41        0.40       12.54        0.38     7412.00   2578.4033        Good
  149     4670.88       68.07       61.73        0.67       22.07        0.35     7278.00   2187.6637        Good
  150     5212.40       95.05       63.99        0.53       17.15        0.41     6341.00   2185.3065        Good
  151     3987.09       80.89       66.43        0.63       17.99        0.49     5354.00   2029.8897        Good
  152     2742.83       62.63       66.26        0.86       19.27        0.58     3705.00   1452.1189        Good
  153     1316.61       34.21       69.92        1.38       24.74        0.73     2225.00   1486.4713        Good
  154     1044.48       33.47       62.28        1.32       22.04        0.77     1682.00   1507.9397        Good
  155      816.89       27.88       60.89        1.69       28.96        1.18     1752.00   1510.2971        Good
  156     5068.23       75.78       70.97        1.00       29.75        0.80     8558.00   1461.5969        Good
  157     4773.75       66.17       72.27        0.81       27.23        0.46     9253.00   1472.2644        Good
  158     6424.81       88.09       66.72        0.57       23.97        0.41    10762.00   1498.5634        Good
  159     6323.61       77.26       71.26        0.65       25.23        0.37    10771.00   1470.3864        Good
  160     6118.95       76.31       66.80        0.59       23.43        0.32    10142.00   1793.9279        Good
  161     6688.68       94.40       62.05        0.65       22.41        0.46     9452.00   2300.2521        Good
  162     5702.14       75.35       66.93        0.64       22.49        0.36     8399.00   1698.8993        Good
  163     5559.32       90.03       65.69        0.63       19.68        0.45     7576.00   1929.6314        Good
  164     2888.93       51.55       69.32        0.90       24.77        0.48     5115.00   1477.0058        Good
  165     2084.56       50.14       69.74        1.35       26.58        1.02     3503.00   1473.7439        Good
  166     1455.39       38.79       69.08        1.45       25.60        0.90     2536.00   1492.3667        Good
  167     1204.18       33.62       64.50        1.42       26.11        0.79     2491.00   1538.8231        Good
  168     3740.64       55.44       73.70        0.89       34.06        0.57    10097.00   1594.4314        Good
  169     5231.16       65.40       74.34        0.82       30.36        0.49    10803.00   1481.5642        Good
  170     4912.79       62.14       76.54        0.82       31.37        0.47    11015.00   1493.6140        Good
  171     6284.49       74.72       70.19        0.75       28.48        0.46    11768.00   1519.8010        Good
  172     6281.14       70.86       75.28        0.76       29.19        0.42    12145.00   1976.8596        Good
  173     6210.28       83.77       70.16        0.71       29.05        0.59    11595.00   1765.9153        Good
  174     5299.56       78.13       70.07        0.77       29.43        0.66    10011.00   2011.5250        Good
  175     4588.34       64.52       67.69        0.77       25.94        0.44     7901.00   1966.4336        Good
  176     3036.74       50.93       68.96        0.98       27.85        0.56     6085.00   1490.7076        Good
  177      777.53       22.57       97.83        2.21       40.65        1.21     2642.00   1695.4684        Good
  178     1360.14       34.12       68.61        1.44       27.50        0.76     2928.00   1467.6950        Good
  179     1053.68       29.63       71.93        3.06       44.07        2.71     2632.00   1470.6926        Good
  180     4274.60       60.71       68.00        0.96       28.43        0.53     8583.00   1481.6369        Good
  181     3533.30       50.74       82.11        0.99       34.20        0.58     8983.00   1521.4341        Good
  182     6502.24       94.99       66.51        0.71       23.50        0.58     9996.00   1442.6286        Good
  183     4492.99       58.49       77.20        0.90       30.04        0.47     9590.00   1496.0123        Good
  184     4464.82       66.45       75.83        0.90       34.06        0.77     9965.00   1952.8451        Good
  185     3804.56       56.87       73.84        0.99       31.94        0.64     8406.00   2056.2992        Good
  186     4520.04       63.28       71.74        0.89       28.65        0.54     8013.00   1739.7585        Good
  187     3623.05       65.48       69.06        1.11       29.59        0.95     6516.00   1880.2466        Good
  188     2183.12       42.31       76.36        1.23       31.95        0.77     4910.00   1539.7798        Good
  189     1481.33       34.37       77.18        1.42       32.87        0.89     3484.00   1525.0565        Good
  190     1138.75       29.00       79.77        1.85       33.52        1.09     2659.00   1501.8281        Good
  191     1460.12       41.21       53.36        2.25       26.37        1.52     2141.00   1478.1941        Good
  192     3512.39       56.63       66.53        0.95       30.31        0.63     7393.00   1531.6527        Good
  193     2625.49       46.32       79.92        1.19       33.12        0.68     6801.00   1502.6361        Good
  194     4479.85       70.61       73.03        1.11       30.90        0.91     8124.00   1498.9489        Good
  195     4010.60       56.83       74.39        0.91       29.28        0.51     7878.00   1498.4924        Good
  196     3826.02       60.84       64.15        0.83       25.85        0.47     7632.00   2279.0887        Good
  197     3295.53       56.62       76.31        1.16       37.17        1.09     7685.00   1795.2258        Good
  198     3031.35       52.81       67.24        1.02       28.17        0.62     6121.00   2226.1903        Good
  199     2945.89       64.85       47.40        0.78       18.78        0.43     4497.00   2420.9314        Good
  200     1759.54       36.92       78.10        1.42       32.22        0.82     3996.00   1451.1995        Good
  201     1409.79       34.16       72.52        1.43       29.03        0.78     3056.00   1520.6502        Good
  202     1041.05       28.06       76.11        1.77       29.82        0.94     2230.00   1460.9627        Good
  203      376.52       14.62      118.54        4.18       51.59        2.25     1738.00   1704.9782        Good
  204     2703.37       48.28       69.39        1.08       28.83        0.60     5942.00   1532.2915        Good
  205     2509.30       42.42       81.98        1.27       32.23        0.65     5987.00   1567.1201        Good
  206     3117.62       49.07       75.70        1.03       30.21        0.57     6439.00   1458.3136        Good
  207     2751.44       47.73       76.22        1.14       34.22        0.75     6842.00   1532.9564        Good
  208     3444.03       52.61       73.97        0.97       29.60        0.54     7257.00   1902.5741        Good
  209     2661.60       44.63       80.41        1.18       33.25        0.69     6132.00   1701.0275        Good
  210     3564.65       65.71       63.23        0.87       25.77        0.70     5832.00   1684.6819        Good
  211     2514.88       54.18       64.61        1.01       27.39        0.85     4604.00   2142.5598        Good
  212     1865.51       45.79       64.97        1.21       28.02        1.01     3571.00   1436.2614        Good
  213     1487.81       35.77       66.36        1.26       25.75        0.67     2781.00   1480.7756        Good
  214     1093.62       35.35       63.78        1.57       28.57        1.39     2115.00   1448.1746        Good
  215     1297.43       41.74       46.75        1.73       20.14        0.99     1892.00   1562.4964        Good
  216     3059.02       60.23       58.10        0.94       27.05        0.80     5615.00   1473.7454        Good
  217     2777.68       48.75       70.26        1.13       30.08        0.71     5550.00   1605.5106        Good
  218     3214.25       59.79       69.10        1.06       29.26        0.88     5986.00   1438.0796        Good
  219     3238.95       52.49       69.76        1.01       27.82        0.56     5984.00   1498.6367        Good
  220     3189.90       60.45       68.19        1.17       30.99        1.03     5857.00   1701.2063        Good
  221     2109.56       44.49       75.93        1.56       40.46        1.56     5260.00   2034.9522        Good
  222     2666.35       49.58       66.44        1.04       26.50        0.62     4786.00   1839.5063        Good
  223     2008.94       41.13       70.49        1.27       28.07        0.71     3751.00   1783.3972        Good
  224     1464.34       35.27       68.93        1.47       28.11        0.82     2874.00   1409.4121        Good
  225      965.39       25.79       83.99        2.05       34.71        1.16     2360.00   1485.1339        Good
  226      594.43       20.91       87.33        3.30       49.26        3.26     1815.00   1463.2272        Good
  227        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  228     2357.34       45.45       65.26        1.12       27.79        0.64     4810.00   1487.4282        Good
  229     2082.78       40.66       75.77        1.37       32.01        0.84     4438.00   1415.2653        Good
  230     2106.77       40.67       77.85        1.57       33.93        0.97     4606.00   1482.4421        Good
  231     2286.58       41.49       77.83        1.28       31.86        0.71     5192.00   1509.4906        Good
  232     2282.92       43.96       71.51        1.28       29.43        0.73     4699.00   2099.7512        Good
  233     1500.30       32.38       87.51        1.64       37.58        0.98     4339.00   1913.4340        Good
  234     1661.15       36.93       73.36        1.54       29.52        0.83     3584.00   1952.4525        Good
  235     2140.08       57.35       43.31        0.91       16.93        0.51     2783.00   2485.6809        Good
  236      863.92       24.72       85.08        2.29       39.06        1.46     2390.00   1495.0516        Good
  237      831.99       25.07       78.55        2.05       33.41        1.20     2044.00   1466.8342        Good
  238      613.89       21.43       80.19        2.49       33.95        1.41     1589.00   1495.3654        Good
  239      489.06       18.28       84.83        3.54       48.69        2.76     1727.00   1543.8347        Good
  240     1189.46       31.27       78.57        1.82       39.20        1.30     3539.00   1597.8028        Good
  241     1142.21       28.30       92.37        2.26       41.91        1.40     3452.00   1499.7579        Good
  242     2106.06       42.86       67.43        1.20       26.94        0.67     3851.00   1419.2002        Good
  243     1238.62       28.51       96.77        2.17       42.76        1.29     3853.00   1532.8036        Good
  244     1230.49       31.83       88.23        2.31       49.30        2.42     3750.00   2143.3459        Good
  245     1592.05       39.21       76.05        1.62       36.01        1.43     3656.00   1651.2697        Good
  246     1314.30       33.37       73.96        1.69       31.33        0.95     3106.00   2142.0777        Good
  247     1404.39       33.51       71.74        1.56       28.73        0.83     2872.00   2158.4749        Good
  248     1158.86       30.99       70.07        1.67       27.81        0.91     2229.00   1456.6266        Good
  249      914.55       31.73       64.98        1.88       31.23        1.78     1914.00   1478.0432        Good
  250      594.94       23.33       76.25        2.74       38.23        2.59     1426.00   1482.7685        Good
  251        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
  252      898.03       26.68       77.40        2.36       39.77        1.71     2559.00   1600.9089        Good
  253      893.17       24.19       93.71        2.34       42.02        1.40     2873.00   1486.4575        Good
  254     1899.31       41.03       64.30        1.09       24.80        0.57     3471.00   1415.8029        Good
  255     2028.25       42.44       65.42        1.11       25.75        0.61     3759.00   1428.6209        Good
  256     1763.39       43.68       68.84        1.48       31.53        1.31     3546.00   1856.2416        Good
  257     1817.48       46.44       62.41        1.15       26.79        0.98     3410.00   1544.5399        Good
  258     1648.94       43.57       65.11        1.65       30.77        1.55     3040.00   1653.9986        Good
  259     1221.50       31.68       70.95        1.65       28.49        0.87     2574.00   1916.6368        Good
  260     1009.11       31.60       58.18        1.80       29.07        1.30     2087.00   1469.3940        Good
  261     1023.33       31.56       59.67        1.49       23.48        0.81     1778.00   1446.1954        Good
  262      572.76       20.47       77.30        2.57       38.88        2.10     1505.00   1455.9118        Good
  263      694.49       23.63       72.70        3.84       34.41        2.25     1578.00   1434.8832        Good
  264      970.94       28.21       74.61        1.97       34.60        1.26     2529.00   1620.1727        Good
  265     1598.13       47.61       61.66        1.02       20.56        0.78     2578.00   1442.4875        Good
  266     1378.34       34.29       68.05        1.43       26.08        0.75     2554.00   1435.0493        Good
  267     1753.27       42.06       57.99        1.16       21.78        0.59     2682.00   1441.5325        Good
  268     1495.06       42.39       63.22        1.37       27.35        1.19     2638.00   1858.8442        Good
  269     1368.88       40.37       64.50        1.91       29.14        1.67     2304.00   1514.8698        Good
  270      651.67       21.16       93.41        2.99       41.68        1.80     1972.00   2039.8532        Good
  271      642.18       22.53       82.26        2.77       37.56        1.69     1804.00   2104.5072        Good
  272      838.97       31.40       63.76        1.66       25.99        1.33     1499.00   1427.0455        Good
  273      808.19       28.55       58.16        1.60       22.74        0.88     1333.00   1433.6515        Good
  274      550.89       20.81       73.63        2.26       31.72        1.42     1240.00   1469.9978        Good
  275      724.18       26.32       58.57        1.87       27.27        1.20     1488.00   1438.5057        Good
  276      715.85       27.29       58.46        3.71       40.01        4.06     1501.00   1512.1786        Good
  277      640.19       24.09       76.78        2.78       40.60        2.76     1612.00   1558.5777        Good
  278      909.54       31.78       60.93        1.54       26.09        1.18     1690.00   1491.1029        Good
  279      991.01       29.74       62.98        1.35       24.92        0.73     1928.00   1498.3075        Good
  280      909.17       30.99       63.79        1.72       28.81        1.39     1784.00   1833.5188        Good
  281      719.45       26.20       71.83        2.33       34.84        2.08     1583.00   1666.2517        Good
  282      809.76       31.61       60.09        1.68       25.04        1.37     1417.00   1980.6981        Good
  283    71012.57    46859.11     -132.65       15.19        5.84        1.86      992.00         nan        Good
  284      482.41       22.17       59.93        2.36       23.44        1.23      870.00   1473.0787        Good
  285      248.83       13.22       89.77        5.15       42.31        3.28      752.00   1456.1170        Good
  286      157.65        9.10      104.16        4.84       50.67        3.38      642.00   1470.0911        Good
  287        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000   Big_error
