Run Number: 1683 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
    0     6239.84       97.11       61.41        0.64       22.07        0.56     9486.00   1504.6090        Good
    1     6003.17       87.61       65.50        0.59       22.13        0.41     8867.00   1492.6872        Good
    2     7131.49      103.35       62.91        0.49       18.32        0.34     8828.00   1502.5037        Good
    3     8749.39      133.37       60.63        0.39       14.69        0.30     8787.00   1471.7166        Good
    4     6821.32       95.98       62.60        0.66       21.75        0.46     9410.00   2183.7877        Good
    5     9021.44      135.04       60.99        0.39       14.92        0.30     9142.00   1872.1610        Good
    6     8671.30      130.46       62.40        0.43       15.70        0.34     9002.00   1850.1887        Good
    7     7983.53      113.97       62.92        0.57       17.72        0.39     8335.00   1927.8956        Good
    8     8067.51      127.58       61.88        0.42       14.97        0.32     8834.00   1483.3304        Good
    9     5680.24       90.83       66.03        0.63       20.07        0.45     7300.00   1456.4415        Good
   10     4737.73       86.06       67.53        0.71       19.05        0.50     5792.00   1434.9277        Good
   11     3656.42       74.40       61.14        0.70       19.22        0.53     5205.00   1496.7119        Good
   12     7068.37       80.49       64.84        0.61       25.05        0.33    12379.00   1461.9255        Good
   13     9936.27      132.53       66.87        0.51       18.27        0.41    12071.00   1470.3789        Good
   14     6303.53       71.58       79.28        0.67       28.82        0.38    11977.00   1450.1879        Good
   15    10603.38      137.88       66.67        0.47       17.50        0.36    12640.00   1445.7572        Good
   16    11061.05      134.41       62.31        0.38       17.66        0.27    13427.00   2107.1606        Good
   17    11318.70      131.83       64.87        0.54       18.72        0.36    13180.00   1801.7252        Good
   18     6786.50       82.47       64.86        0.56       23.06        0.31    11549.00   2077.2438        Good
   19    10121.39      139.70       34.58        0.34       13.08        0.19    10311.00   2552.7401        Good
   20     6266.23       78.90       63.57        0.64       24.08        0.35    11060.00   1445.1200        Good
   21     6948.43       89.27       59.80        0.52       19.93        0.29     9792.00   1499.4867        Good
   22     5275.82       76.58       56.90        0.62       21.29        0.35     8112.00   1580.1912        Good
   23     3315.88       59.30       59.29        0.83       25.28        0.50     6613.00   1629.7911        Good
   24     8218.11       97.68       62.83        0.69       29.77        0.64    14373.00   1463.8614        Good
   25     5888.01       73.78       64.60        0.59       24.79        0.31    11526.00   1618.9992        Good
   26     6657.99       88.65       63.72        0.54       25.44        0.42    12400.00   1507.0272        Good
   27     8816.86      102.72       72.87        0.77       27.58        0.57    14137.00   1449.8946        Good
   28     7886.80       97.96       67.68        0.65       27.38        0.52    14246.00   2203.8326        Good
   29     9105.56      106.00       67.84        0.59       25.88        0.46    14599.00   1931.8945        Good
   30     8721.40      122.71       40.06        0.38       15.23        0.21    11180.00   2490.4880        Good
   31     8117.04      129.92       40.47        0.43       17.90        0.40    11349.00   2493.8446        Good
   32     5583.54       78.16       73.18        0.78       31.73        0.67    11683.00   1507.9172        Good
   33     6654.23       77.39       66.87        0.62       24.48        0.32    10985.00   1492.5782        Good
   34     2983.90       51.67       72.08        0.95       29.15        0.51     7331.00   1602.5003        Good
   35     4785.47       66.03       62.80        0.83       25.81        0.46     8403.00   1477.0533        Good
   36     7614.23      100.48       58.09        0.65       26.01        0.59    12508.00   1501.4934        Good
   37     7296.61       93.53       68.40        0.77       27.24        0.60    11902.00   1472.0706        Good
   38     7550.37       97.88       66.24        0.61       25.48        0.49    12167.00   1447.9767        Good
   39     5335.10       72.06       78.21        0.81       32.59        0.63    11925.00   1512.1242        Good
   40     6710.39       85.74       71.08        0.78       29.36        0.61    12427.00   1820.1685        Good
   41     7090.59       91.31       67.30        0.60       26.83        0.49    12758.00   1834.8838        Good
   42     8795.10      112.34       66.02        0.58       22.40        0.46    12043.00   1840.4653        Good
   43     8284.94      110.42       65.03        0.56       21.62        0.45    12190.00   1965.8939        Good
   44     5543.73       79.95       72.44        0.68       27.03        0.53     9907.00   1460.3962        Good
   45     5591.11       84.36       71.76        0.71       25.08        0.57     9632.00   1475.1489        Good
   46     4723.78       76.54       66.02        0.83       26.33        0.67     7687.00   1485.9905        Good
   47     2729.06       50.78       59.99        1.54       36.69        1.31     6457.00   1513.0595        Good
   48     6136.40       88.12       59.54        0.87       29.09        0.84    10498.00   1498.8565        Good
   49     4780.67       71.78       70.63        0.80       29.56        0.64     9308.00   1512.5145        Good
   50     4830.02       71.15       74.53        0.82       30.72        0.65    10219.00   1577.8710        Good
   51     5896.97       82.41       69.84        0.76       27.94        0.60    10270.00   1500.1898        Good
   52     7610.71      106.24       63.41        0.57       20.97        0.44    11101.00   1729.0234        Good
   53     5470.21       77.92       68.32        0.73       29.07        0.60    10921.00   1881.9550        Good
   54     6408.16       86.08       68.48        0.72       26.19        0.53    10266.00   1950.7708        Good
   55     5577.80       81.64       66.95        0.68       26.43        0.55    10286.00   2026.4635        Good
