Module	 HV
1	-1379
2	-1356
3	-1363
4	-1329
5	-1887
6	-1581
7	-1529
8	-1572
9	-1334
10	-1310
11	-1280
12	-1351
13	-1333
14	-1319
15	-1322
16	-1297
17	-1713
18	-1483
19	-1800
20	-2000
21	-1405
22	-1357
23	-1412
24	-1458
25	-1323
26	-1448
27	-1353
28	-1298
29	-1806
30	-1603
31	-1997
32	-1935
33	-1324
34	-1313
35	-1446
36	-1309
37	-1338
38	-1311
39	-1281
40	-1344
41	-1457
42	-1461
43	-1452
44	-1559
45	-1293
46	-1304
47	-1320
48	-1316
49	-1336
50	-1336
51	-1401
52	-1331
53	-1360
54	-1485
55	-1564
56	-1597
57	-1320
58	-1321
59	-1308
60	-1386
61	-1339
62	-1301
63	-1339
64	-1317
65	-1666
66	-1449
67	-1440
68	-1628
69	-1292
70	-1318
71	-1352
72	-1311
73	-1514
74	-1411
75	-1380
76	-1411
77	-2017
78	-2200
79	-1527
80	-1708
81	-1284
82	-1294
83	-1303
84	-1357
85	-1296
86	-1300
87	-1324
88	-1281
89	-1453
90	-1413
91	-1333
92	-1496
93	-1297
94	-1319
95	-1332
96	-1400
97	-1347
98	-1285
99	-1359
100	-1294
101	-1580
102	-1473
103	-1794
104	-1660
105	-1281
106	-1278
107	-1324
108	-1324
109	-1447
110	-1338
111	-1303
112	-1288
113	-1354
114	-1374
115	-1425
116	-1506
117	-1255
118	-1338
119	-1307
120	-1320
121	-1307
122	-1331
123	-1328
124	-1339
125	-1261
126	-1434
127	-1405
128	-1317
129	-1278
130	-1254
131	-1386
132	-1397
133	-1355
134	-1274
135	-1325
136	-1378
137	-1568
138	-1579
139	-1505
140	-1719
141	-1312
142	-1316
143	-1318
144	-1315
145	-1424
146	-1404
147	-1400
148	-1384
149	-2388
150	-1843
151	-1799
152	-1684
153	-1293
154	-1335
155	-1357
156	-1350
157	-1308
158	-1304
159	-1347
160	-1305
161	-1437
162	-1826
163	-1363
164	-1558
165	-1316
166	-1318
167	-1338
168	-1375
169	-1406
170	-1309
171	-1314
172	-1350
173	-1554
174	-1336
175	-1721
176	-1553
177	-1316
178	-1512
179	-1300
180	-1291
181	-1311
182	-1342
183	-1284
184	-1327
185	-1491
186	-1541
187	-1373
188	-1455
189	-1367
190	-1352
191	-1338
192	-1305
193	-1346
194	-1316
195	-1337
196	-1330
197	-1733
198	-1615
199	-1700
200	-1834
201	-1287
202	-1348
203	-1292
204	-1540
205	-1357
206	-1449
207	-1289
208	-1364
209	-1436
210	-1400
211	-1312
212	-1664
213	-1264
214	-1415
215	-1282
216	-1369
217	-1311
218	-1414
219	-1275
220	-1324
221	-1328
222	-1600
223	-1375
224	-1387
225	-1241
226	-1310
227	-1397
228	-1450
229	-1321
230	-1254
231	-1322
232	-1334
233	-1639
234	-1464
235	-1496
236	-1874
237	-1318
238	-1294
239	-1318
240	-1340
241	-1409
242	-1330
243	-1365
244	-1371
245	-1667
246	-1294
247	-1624
248	-1713
249	-1294
250	-1364
251	-1320
252	-1400
253	-1402
254	-1311
255	-1257
256	-1259
257	-1470
258	-1220
259	-1291
260	-1479
261	-1304
262	-1285
263	-1289
264	-1254
265	-1440
266	-1277
267	-1273
268	-1279
269	-1458
270	-1220
271	-1623
272	-1724
273	-1267
274	-1277
275	-1314
276	-1270
277	-1338
278	-1392
279	-1336
280	-1340
281	-1486
282	-1358
283	-1587
284	-1940
285	-1325
286	-1311
287	-1317
288	-1358
