Module	 HV
1	-1469.55
2	-1440.86
3	-1415.44
4	-1417.09
5	-2198.26
6	-1612.39
7	-1510.63
8	-1505.2
9	-1392.72
10	-1375.82
11	-1342
12	-1402.37
13	-1412.43
14	-1375.54
15	-1411.11
16	-1363.17
17	-1696.39
18	-1482.82
19	-1977.69
20	-4688.52
21	-1752.73
22	-1432.56
23	-1540.04
24	-1556.59
25	-1404.51
26	-1568.53
27	-1451.19
28	-1367.19
29	-1920.94
30	-1485.88
31	-4321.16
32	-2500
33	-1342.22
34	-1379.95
35	-1516.28
36	-1339.81
37	-1430.94
38	-1386.4
39	-1312.26
40	-1437.99
41	-1379.09
42	-1369.42
43	-1417.88
44	-1592.64
45	-1399.22
46	-1367.52
47	-1384.33
48	-1386.18
49	-1414.62
50	-1404.62
51	-1491.71
52	-1436.24
53	-1278.2
54	-1309.57
55	-1535.03
56	-1582.19
57	-1395.18
58	-1396.94
59	-1322.63
60	-1461.05
61	-1411.76
62	-1353.55
63	-1447.71
64	-1375.61
65	-1572.98
66	-1405.65
67	-1411.42
68	-1576.07
69	-1377.06
70	-1400.24
71	-1452.12
72	-1336.36
73	-1697.22
74	-1624.66
75	-1576.28
76	-1531.39
77	-2394.67
78	-3396.12
79	-1492.01
80	-1411.71
81	-1324.41
82	-1383.02
83	-1317.53
84	-1286.16
85	-1346.19
86	-1367.81
87	-1405.46
88	-1384.79
89	-1372.02
90	-1326.68
91	-1209.39
92	-1361.42
93	-1396.52
94	-1454.69
95	-1398.9
96	-1430.85
97	-1412.52
98	-1375.43
99	-1457.44
100	-1350.36
101	-1661.07
102	-1189.76
103	-3231.28
104	-1683.97
105	-1326.3
106	-1336.56
107	-1409.38
108	-1337.58
109	-1658.98
110	-1409.86
111	-1375.81
112	-1389.88
113	-1398.65
114	-1316.62
115	-1381.75
116	-1219.11
117	-1328.96
118	-1370.65
119	-1338.96
120	-1378.12
121	-1356.85
122	-1373.49
123	-1397.57
124	-1413.89
125	-1230.27
126	-1360.23
127	-1390.59
128	-1193.54
129	-1334.58
130	-1319.78
131	-1460.97
132	-1446.69
133	-1382.01
134	-1313.48
135	-1389.17
136	-1436.65
137	-1442.18
138	-1429.01
139	-1500.64
140	-1384.09
141	-1393.44
142	-1384.91
143	-1379.45
144	-1375.26
145	-1592.15
146	-1509.75
147	-1462.46
148	-2047.04
149	-2500
150	-2122.72
151	-1774.78
152	-1547.3
153	-1377.62
154	-1409.11
155	-1407.58
156	-1388.12
157	-1417.19
158	-1412.49
159	-1464.57
160	-1338.24
161	-1432.35
162	-1716.64
163	-1358.09
164	-1481.84
165	-1386.51
166	-1384.19
167	-1401.59
168	-1431.22
169	-1481.54
170	-1402.75
171	-1389.01
172	-1430.15
173	-1612.12
174	-1244.04
175	-1428.32
176	-1505.67
177	-1389.23
178	-1552.95
179	-1357.86
180	-1403.35
181	-1360.21
182	-1382.63
183	-1348.42
184	-1409.78
185	-1405.1
186	-1581.8
187	-1341.48
188	-1377.02
189	-1438.92
190	-1432.32
191	-1386.18
192	-1345.71
193	-1380.01
194	-1433.64
195	-1414.93
196	-1399.58
197	-1770.56
198	-1423.36
199	-1831.88
200	-1802.66
201	-1318.25
202	-1363.78
203	-1352.69
204	-1592.21
205	-1396.73
206	-1415.19
207	-1388.07
208	-1494.72
209	-1342.26
210	-1353.06
211	-1282.22
212	-1669.83
213	-1325.9
214	-1387.8
215	-1355.76
216	-1405.01
217	-1355.88
218	-1604.33
219	-1353.26
220	-1376.3
221	-1419.68
222	-1422.52
223	-1221.65
224	-1424.51
225	-1259.73
226	-1360.4
227	-1363.94
228	-1421.74
229	-1357.04
230	-1344.12
231	-1399.35
232	-1383.74
233	-2149.29
234	-1527.37
235	-1477.86
236	-1673.92
237	-1396.22
238	-1397.56
239	-1412.32
240	-1435.6
241	-1461.94
242	-1418.43
243	-1675.91
244	-1449.32
245	-1553.88
246	-1225.06
247	-1624.05
248	-1646.34
249	-1362.08
250	-1340.43
251	-1344.1
252	-1421.2
253	-1498.48
254	-1338.11
255	-1326.36
256	-1349.23
257	-1443.29
258	-1276.92
259	-1247.1
260	-1338.32
261	-1354.41
262	-1271.58
263	-1329.75
264	-1224.36
265	-1528.54
266	-1362.37
267	-1356.61
268	-1341.39
269	-1337.61
270	-1206.18
271	-1670.36
272	-1590.45
273	-1336.46
274	-1323.17
275	-1398.42
276	-1331.62
277	-1331.49
278	-1462.88
279	-1399.11
280	-1381.07
281	-1480.14
282	-1209.12
283	-1635.6
284	-2094.89
285	-1400.09
286	-1385.34
287	-1384.01
288	-1434.31
