Module	 HV
1	0
2	0.996995
3	1.99028
4	2.9973
5	6.33575
6	5.07541
7	nan
8	4.51902
9	7.98523
10	nan
11	nan
12	9.9602
13	11.8709
14	12.974
15	13.9121
16	15.0043
17	nan
18	nan
19	nan
20	26.9785
21	20.1038
22	nan
23	22.3288
24	nan
25	23.7827
26	25.1095
27	25.9614
28	26.9987
29	44.6784
30	29.3733
31	nan
32	nan
33	32.432
34	33.768
35	nan
36	31.712
37	35.3071
38	36.846
39	38.0157
40	38.9394
41	73.2569
42	nan
43	nan
44	nan
45	44.0713
46	43.7115
47	53.6194
48	45.9561
49	46.4492
50	48.9517
51	49.8757
52	51.0312
53	53.4807
54	43.9774
55	nan
56	36.7803
57	55.9564
58	56.9906
59	56.9301
60	58.9577
61	56.8707
62	61.0211
63	61.7225
64	62.8989
65	113.559
66	45.9044
67	43.6212
68	42.5435
69	67.7358
70	69.1281
71	nan
72	68.6747
73	74.6681
74	nan
75	nan
76	74.8744
77	nan
78	nan
79	124.843
80	nan
81	79.9039
82	75.8372
83	81.8424
84	81.9671
85	83.9931
86	79.5309
87	85.8481
88	86.9431
89	62.9189
90	79.1728
91	59.4448
92	156.459
93	91.782
94	92.7406
95	84.3596
96	94.3826
97	95.9293
98	97.0433
99	97.7617
100	98.9501
101	nan
102	101.372
103	nan
104	64.709
105	103.845
106	93.8044
107	95.8603
108	nan
109	107.201
110	108.81
111	109.98
112	110.962
113	nan
114	111.839
115	nan
116	154.76
117	115.617
118	105.269
119	117.554
120	109.731
121	119.751
122	120.904
123	121.666
124	122.868
125	nan
126	87.5806
127	80.6922
128	213.649
129	127.613
130	128.858
131	135.082
132	131.134
133	132.188
134	132.964
135	133.81
136	135.132
137	nan
138	121.265
139	nan
140	249.309
141	139.536
142	140.958
143	142.449
144	143.307
145	147.05
146	142.828
147	145.913
148	142.932
149	164.771
150	169.085
151	nan
152	149.611
153	151.684
154	150.551
155	153.898
156	158.819
157	156.156
158	156.506
159	158.123
160	158.556
161	153.189
162	111.414
163	112.097
164	292.749
165	163.65
166	164.638
167	166.218
168	166.881
169	167.011
170	168.664
171	169.785
172	170.614
173	289.75
174	119.874
175	130.485
176	nan
177	176.187
178	175.959
179	178.415
180	179.797
181	180.121
182	180.865
183	182.181
184	183.116
185	123.482
186	184.158
187	177.949
188	346.353
189	188.043
190	188.944
191	181.674
192	192.039
193	188.759
194	192.727
195	193.815
196	194.564
197	nan
198	52.6859
199	195.56
200	nan
201	199.839
202	201.094
203	201.715
204	203.049
205	203.578
206	208.322
207	205.467
208	206.206
209	nan
210	207.389
211	212.65
212	406.433
213	212.256
214	213.255
215	207.728
216	210.796
217	215.434
218	214.461
219	217.464
220	217.808
221	141.31
222	222.315
223	428.791
224	332.994
225	223.969
226	224.719
227	203.331
228	210.711
229	227.359
230	203.893
231	229.367
232	229.856
233	195.128
234	230.985
235	nan
236	nan
237	235.307
238	236.294
239	236.375
240	240.81
241	237.675
242	238.719
243	245.041
244	241.338
245	nan
246	242.53
247	339.719
248	200.644
249	247.711
250	248.221
251	224.936
252	230.604
253	247.828
254	251.114
255	250.871
256	253.547
257	nan
258	254.832
259	256.968
260	387.309
261	259.145
262	260.978
263	260.823
264	262.042
265	261.798
266	263.871
267	266.365
268	266.294
269	423.687
270	268.293
271	265.861
272	241.678
273	271.233
274	271.751
275	246.795
276	273.875
277	274.541
278	275.643
279	277.153
280	278.017
281	410.633
282	279.647
283	171.517
284	nan
285	283.169
286	284.285
287	281.688
288	285.678
