#Target HV settings for run 371 from hcal_gain_match.C on Fri Sep 24 11:15:16 2021
#
#Row Col targetHVUnlimited targetHV setHV Error
10 5 -1544.57 -1544.57 -1544.48 Good
10 6 -1553.84 -1553.84 -1551.74 Good
10 7 -1473.37 -1473.37 -1490.65 Good
10 8 -1379.09 -1379.09 -1381 Good
10 9 -1354.2 -1354.2 -1356.8 Good
10 10 -1458.04 -1458.04 -1467.78 Good
10 11 -1486.94 -1486.94 -1494.3 Good
11 0 -1452.27 -1452.27 -1452.44 Good
11 1 -1381.16 -1381.16 -1380.98 Good
11 2 -1432.14 -1432.14 -1430.71 Good
11 3 -1480.09 -1480.09 -1480.89 Good
11 4 -1621.39 -1621.39 -1623.56 Good
11 5 -1649.38 -1649.38 -1650.7 Good
11 6 -1633.78 -1633.78 -1632.06 Good
11 7 -1707.96 -1707.96 -1714.61 Good
11 8 -1412.82 -1412.82 -1415.98 Good
11 9 -1409.91 -1409.91 -1412.08 Good
11 10 -1411.32 -1411.32 -1410.05 Good
11 11 -1431.67 -1431.67 -1430.52 Good
12 0 -1490.37 -1490.37 -1461.15 Good
12 1 -1480.65 -1480.65 -1509.84 Good
12 2 -1485.76 -1485.76 -1487.03 Good
12 3 -1444.32 -1444.32 -1487.19 Good
12 4 -2299.16 -2299.16 -2285.82 Good
12 5 -1885.84 -1885.84 -1866.36 Good
12 6 -1878.36 -1878.36 -1874.6 Good
12 7 -1741.74 -1741.74 -1751 Good
12 8 -1393.5 -1393.5 -1394.39 Good
12 9 -1414.56 -1414.56 -1420.94 Good
12 10 -1449.22 -1449.22 -1446.64 Good
12 11 -1435.3 -1435.3 -1434.52 Good
13 0 -1415.25 -1415.25 -1412.27 Good
13 1 -1398.09 -1398.09 -1401.3 Good
13 2 -1461.94 -1461.94 -1458.79 Good
13 3 -1400.55 -1400.55 -1403.21 Good
13 4 -1492.62 -1492.62 -1501.91 Good
13 5 -1927.98 -1927.98 -1906.6 Good
13 6 -1469.39 -1469.39 -1471 Good
13 7 -1659.51 -1659.51 -1659.64 Good
