Module	 HV
1	-1430.37
2	-1480
3	-1486
4	-1453
5	-2087
6	-1793
7	-1781
8	-1848
9	-1467
10	-1444
11	-1425
12	-1456.72
13	-1489.03
14	nan
15	-1451
16	-1435
17	-2016
18	-1739
19	-2009
20	nan
21	-1373.77
22	-1480
23	-1585.43
24	-1608
25	-1449
26	-1605
27	-1527.92
28	-1370.92
29	-2546.63
30	-1885
31	-2419.68
32	-2200
33	-1514.57
34	nan
35	nan
36	-1462
37	-1492.63
38	-1463
39	-1436
40	-1543.76
41	-1787
42	-1783
43	-1782
44	-1902
45	-1455
46	-1469
47	-1474
48	-1520.35
49	-1480
50	nan
51	-1554.41
52	nan
53	-1665
54	-1838
55	-1900
56	-1967
57	-1466
58	-1491
59	-1472
60	-1593.18
61	nan
62	-1464
63	-1514
64	-1478
65	-2106
66	-1779
67	-1739
68	-2026
69	nan
70	-1509
71	nan
72	-1472
73	-1600
74	-1530
75	-1627
76	-1520
77	-2200
78	-2200
79	-1850
80	-2168
81	-1437
82	-1461
83	-1443.49
84	-1481.58
85	-1450
86	-1471
87	-1504.31
88	-1446
89	-1809
90	-1742
91	-1670
92	-1840
93	-1457
94	-1486
95	-1511
96	-1531.16
97	-1529.78
98	-1445
99	-1538
100	-1458
101	-2018
102	-1842
103	nan
104	-2102
105	-1433
106	-1439
107	-1477
108	-1489.86
109	-1646.41
110	-1534.99
111	-1470
112	-1458
113	-1658
114	-1682
115	-1805
116	-1866
117	-1404
118	-1481
119	-1394.13
120	-1467.06
121	-1434.49
122	-1481
123	-1554.77
124	-1485
125	-1551
126	-1734
127	-1745
128	-1682
129	-1424
130	-1361.72
131	nan
132	-1621.15
133	-1479.62
134	-1437
135	-1482
136	-1454
137	-1965
138	-1957
139	-1938
140	-2058
141	nan
142	-1424.54
143	-1479
144	-1447.14
145	-1614
146	-1581
147	-1545
148	-1572
149	-2200
150	-2099
151	-1964.55
152	-1975
153	-1441
154	-1454.71
155	-1492
156	-1493
157	-1455
158	-1467
159	-1492.61
160	-1464
161	nan
162	-2200
163	-1653
164	-1867
165	-1469
166	-1389.75
167	-1484
168	-1570.54
169	nan
170	-1409.66
171	-1492
172	-1413.08
173	-1963
174	nan
175	-1962
176	-1914
177	-1482
178	-1712
179	-1459
180	-1479.22
181	nan
182	-1525
183	-1432
184	-1495
185	-1381.92
186	-2034
187	-1714
188	-1582.64
189	nan
190	-1524
191	-1462.02
192	-1453
193	-1518
194	-1504
195	-1494
196	-1495
197	-2364.9
198	-1765
199	-2150
200	-2200
201	nan
202	nan
203	-1399.55
204	-1740
205	-1524
206	-1572
207	nan
208	-1534.72
209	-1881
210	-1709
211	-1619
212	-2065
213	-1424
214	-1470
215	-1435
216	-1514.11
217	-1460.26
218	-1657.6
219	-1430
220	-1431.26
221	-1659
222	-2022
223	-1779
224	-1750
225	-1401
226	-1490
227	-1470
228	-1650
229	-1497.59
230	-1373.13
231	-1482
232	-1509
233	-2065
234	nan
235	-1929
236	-2200
237	-1501
238	-1467
239	nan
240	-1550
241	-1598
242	-1511
243	-1465.92
244	-1498.28
245	-2194
246	nan
247	nan
248	-2121
249	-1449
250	-1465
251	-1481
252	-1600
253	-1600
254	-1498
255	-1359.05
256	nan
257	nan
258	-1486
259	-1598
260	-1882
261	-1450
262	-1429
263	-1455
264	-1456.67
265	-1616
266	-1427
267	-1453.64
268	-1421
269	-1498.9
270	-1406.02
271	-2111
272	-2121
273	-1414
274	-1414
275	-1433.45
276	-1431.28
277	-1490
278	-1557
279	-1472
280	-1483
281	-1769
282	-1367.91
283	-1861
284	nan
285	-1455
286	-1465
287	-1488
288	-1540
