Module	 HV
1	-1466.49
2	-1448.28
3	-1452.67
4	-1424.6
5	-1986.76
6	-1661.72
7	-1592.66
8	-1640.43
9	-1427.93
10	-1406.19
11	-1383.41
12	-1445.82
13	-1407.88
14	-1413.82
15	-1409.26
16	-1392.93
17	-1776.5
18	-1579.53
19	-1613.27
20	-1725.64
21	-1379.42
22	-1440.12
23	-1498.87
24	-1529.23
25	-1412.09
26	-1532.25
27	-1434.64
28	-1396.12
29	-1826.1
30	-1652.31
31	-1707.09
32	-1744.94
33	-1434.39
34	-1424.61
35	-1468.39
36	-1408.28
37	-1432.06
38	-1410.06
39	-1382.46
40	-1438.91
41	-1512.78
42	-1540.5
43	-1577.8
44	-1656.09
45	-1396.45
46	-1411.06
47	-1425.14
48	-1417.87
49	-1430.36
50	-1435.46
51	-1498.66
52	-1435.57
53	-1468.96
54	-1565.36
55	-1664.11
56	-1681.9
57	-1421.92
58	-1424.59
59	-1414.65
60	-1480.32
61	-1432.52
62	-1401.59
63	-1437.21
64	-1422.17
65	-1762.97
66	-1547.04
67	-1539.46
68	-1744.11
69	-1402.67
70	-1419.23
71	-1454.81
72	-1407.1
73	-1575.84
74	-1498.4
75	-1468.87
76	-1498.05
77	-1889.66
78	-2272.19
79	-1614.49
80	-1798.85
81	-1387.17
82	-1397.1
83	-1405.98
84	-1547.4
85	-1392.2
86	-1406.07
87	-1425.37
88	-1389.8
89	-1564.51
90	-1509.14
91	-1489.04
92	-1630.47
93	-1401.42
94	-1423.51
95	-1427.26
96	-1550.08
97	-1444.45
98	-1389.45
99	-1461.24
100	-1397.59
101	-1739.72
102	-1603.97
103	-1846.32
104	-1790.29
105	-1383.74
106	-1384.44
107	-1426.43
108	-1415.57
109	-1530.6
110	-1444.3
111	-1406.37
112	-1397.93
113	-1470.53
114	-1491.96
115	-1564.3
116	-1615.64
117	-1358.16
118	-1455.47
119	-1405.22
120	-1422.31
121	-1405.26
122	-1432.21
123	-1428.18
124	-1439.88
125	-1383.77
126	-1544.57
127	-1553.84
128	-1473.37
129	-1379.09
130	-1354.2
131	-1458.04
132	-1486.94
133	-1452.27
134	-1381.16
135	-1432.14
136	-1480.09
137	-1621.39
138	-1649.38
139	-1633.78
140	-1707.96
141	-1412.82
142	-1409.91
143	-1411.32
144	-1431.67
145	-1490.37
146	-1480.65
147	-1485.76
148	-1444.32
149	-2299.16
150	-1885.84
151	-1878.36
152	-1741.74
153	-1393.5
154	-1414.56
155	-1449.22
156	-1435.3
157	-1415.25
158	-1398.09
159	-1461.94
160	-1400.55
161	-1492.62
162	-1927.98
163	-1469.39
164	-1659.51
165	-1408.31
166	-1411.61
167	-1431.71
168	-1461.51
169	-1481.2
170	-1409.39
171	-1414.67
172	-1448.87
173	-1648.82
174	-1466.51
175	-1679.64
176	-1663.6
177	-1415.91
178	-1503.62
179	-1395.39
180	-1403.08
181	-1404.38
182	-1452.82
183	-1387.02
184	-1425.6
185	-1582.87
186	-1645.17
187	-1492.52
188	-1581.24
189	-1464.25
190	-1447.16
191	-1434.15
192	-1401.71
193	-1451.42
194	-1419.57
195	-1438.06
196	-1430.84
197	-1823.88
198	-574.134
199	-1767.44
200	-1892.88
201	-1386.63
202	-1449.15
203	-1395.7
204	-1538.77
205	-1450.76
206	-1493.51
207	-1393.58
208	-1473.27
209	-1582.06
210	-1425.41
211	-1429.26
212	-1773.07
213	-1375.62
214	-1418.62
215	-1383.87
216	-1461.15
217	-1407.75
218	-1538.93
219	-1378.82
220	-1429.28
221	-1452.59
222	-1688.29
223	-1528.5
224	-1497.39
225	-1348.14
226	-1414.13
227	-1396.83
228	-1431.85
229	-1421.58
230	-1362.33
231	-1425.4
232	-1435.61
233	-1760.22
234	-1589.87
235	-1620.33
236	-1963.14
237	-1415.47
238	-1395.19
239	-1417.33
240	-1426.73
241	-1505.31
242	-1427.95
243	-1825.04
244	-1460.88
245	-1829.26
246	-1421.35
247	-1770.85
248	-1808.09
249	-1395.67
250	-1459.79
251	-1422.59
252	-1435.62
253	-1493.21
254	-1418.56
255	-1360.61
256	-1369.91
257	-1609.71
258	-1335.55
259	-1421.06
260	-1571.66
261	-1401.12
262	-1384.48
263	-1392.47
264	-1363.66
265	-1535.72
266	-1385.58
267	-1380.16
268	-1383.72
269	-1590.31
270	-1332.22
271	-1724.81
272	-1746.61
273	-1368.68
274	-1376.71
275	-1416.95
276	-1375.16
277	-1437.92
278	-1497.31
279	-1442.08
280	-1442.07
281	-1592.39
282	-1456.96
283	-1726.38
284	-1957.41
285	-1422.16
286	-1411.05
287	-1414.8
288	-1454.01
