Run Number: 528 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
   74     5467.13      679.41       -2.16        5.45       11.61        0.51     9321.00        -nan        Good
   75     7233.73      103.38       13.80        0.23        8.30        0.20    14110.00   1622.2934        Good
   76     7249.17      105.91       15.01        0.21        7.97        0.22    11997.00   2454.2677        Good
   77     3166.32       51.69       21.62        0.39       13.16        0.34     9706.00   2849.8439        Good
   78     7484.58      105.39       16.20        0.15        5.65        0.10     9783.00   2092.7879        Good
   79     8772.07      110.15       17.19        0.15        6.32        0.11    12758.00   2443.9208        Good
   80    10434.75      123.00       17.09        0.13        5.87        0.09    13839.00   1480.0845        Good
   81    10865.44      122.28       16.86        0.13        5.69        0.08    14205.00   1498.0105        Good
   82    11532.91      130.81       16.53        0.12        5.75        0.09    15136.00   1507.7310        Good
   83    13106.56      219.77        8.94        0.09        3.44        0.10    10169.00   1722.0009        Good
   84    11961.62      156.46       12.94        0.10        4.79        0.08    13295.00   1502.8075        Good
   85    13598.05      144.94       15.32        0.11        5.72        0.08    17992.00   1514.5115        Good
   86    24140.96     8392.33        5.19        8.29        1.96        8.25     7668.00   1511.3726        Good
   87    13528.55      141.40       15.84        0.12        6.13        0.09    18708.00   1500.3507        Good
   88    10291.35      120.69       16.92        0.13        5.97        0.09    13866.00   2029.0194        Good
   89     6024.50       93.80       16.59        0.17        5.99        0.12     8828.00   1926.1954        Good
   90     9616.33      126.34       14.98        0.12        4.94        0.08    11184.00   2074.6339        Good
   91    10129.87      123.78       16.25        0.13        5.72        0.09    13359.00   2222.7941        Good
   92     9322.85      113.88       17.18        0.14        6.15        0.10    13395.00   1503.8699        Good
   93     9323.00      114.57       16.78        0.13        6.35        0.10    14663.00   1523.7077        Good
   94    10525.64      118.49       17.62        0.13        6.16        0.09    14994.00   1530.2644        Good
   95    10069.13      123.84       15.14        0.12        5.77        0.09    13573.00   1671.6891        Good
   96    10874.31      128.26       15.29        0.12        5.94        0.09    14866.00   1554.9891        Good
   97    13157.26      140.84       16.21        0.11        5.55        0.08    16407.00   1494.1462        Good
   98     8218.13      109.55       15.97        0.15        6.06        0.11    12246.00   1558.0736        Good
   99    12734.63      133.37       16.95        0.14        6.25        0.10    17488.00   1489.9883        Good
  100    21549.38      252.08        9.91        0.07        2.97        0.05    14974.00   2507.6331        Good
  101        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  102     7278.07      108.78       14.71        0.17        6.64        0.15    11044.00   2366.0155        Good
  103     8567.54      109.85       16.65        0.14        6.20        0.10    12392.00   2462.4023        Good
